,Name,Country,Latitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
423,Shimanovsk,RU,52.0,-1.71,47,20,4.77,1522180141
424,el Prat de Llobregat,ES,41.32,13.48,76,20,1.5,1522179000
425,Berestechko,UA,50.36,0.12,93,92,1.47,1522179950
426,Mehamn,NO,71.03,-2.46,73,40,4.6,1522176600
427,Corinto,BR,-18.36,24.5,55,0,3.02,1522180168
428,Sinnamary,GF,5.38,26.75,95,24,5.92,1522180168
429,Fairbanks,US,64.84,-10.07,37,1,1.5,1522177080
430,Artyom,RU,43.36,0.0,97,90,2.0,1522177200
431,Chalus,IR,36.66,11.0,100,75,5.1,1522177200
432,Waipawa,NZ,-39.94,19.6,62,56,2.97,1522179959
433,Upata,VE,8.02,29.85,51,68,4.12,1522180169
434,Llanes,ES,43.42,4.65,80,20,1.52,1522179965
435,Mentougou,CN,39.94,15.0,62,32,4.0,1522177200
436,Houma,CN,35.63,6.02,70,8,0.92,1522179960
437,Townsville,AU,-19.26,25.0,88,75,2.6,1522179000
438,Bay Roberts,CA,47.58,7.0,20,75,4.1,1522177200
439,Noumea,NC,-22.28,25.0,83,75,1.5,1522179000
440,Vao,EE,59.1,-7.48,84,36,2.42,1522180164
441,Hohhot,CN,40.81,11.0,32,20,1.0,1522177200
442,Najran,SA,17.54,23.0,39,0,2.1,1522177200
443,Chesma,RU,53.81,-5.06,87,0,6.37,1522180165
444,Manaus,BR,-3.13,31.52,62,40,5.1,1522177200
445,Westport,IE,53.8,4.0,80,40,4.1,1522177200
446,Dhidhdhoo,MV,6.88,27.4,100,36,2.07,1522180167
447,Camargo,MX,27.69,24.22,19,92,8.37,1522180167
448,Sitka,US,37.17,10.27,68,76,5.87,1522180168
449,Samarai,PG,-10.62,28.15,100,32,1.52,1522179958
450,San Vicente,SV,13.64,32.0,38,75,2.1,1522176600
451,Tangkak,MY,2.27,24.0,94,75,0.87,1522177200
452,Iisalmi,FI,63.56,-8.0,61,0,3.1,1522178400
453,Tutoia,BR,-2.76,31.0,74,20,4.6,1522177200
454,Port Keats,AU,-14.25,24.27,97,0,1.62,1522180172
455,Victor Harbor,AU,-35.55,20.0,82,75,4.6,1522179000
456,Souillac,FR,45.6,11.45,93,90,4.6,1522179000
457,Kuytun,RU,54.34,-4.86,87,36,1.17,1522179963
458,Haysville,US,37.56,6.2,81,90,6.2,1522177980
459,Valdosta,US,30.83,22.0,60,90,4.1,1522179300
460,Kuantan,MY,3.82,24.0,94,75,2.6,1522177200
461,Kita,JP,35.76,12.29,76,0,3.6,1522177200
462,Telma,RU,52.7,-7.0,85,0,3.0,1522177200
463,Menomonie,US,44.88,2.49,73,90,4.1,1522178100
464,Nzerekore,GN,7.76,23.62,83,24,1.22,1522180174
465,Coquimbo,CL,-29.95,18.0,68,20,4.6,1522177200
466,Martapura,ID,-3.41,24.27,100,100,1.77,1522180174
467,Honiara,SB,-9.43,24.0,94,40,1.0,1522177200
468,Margaritas,MX,20.45,29.55,24,0,2.52,1522179972
469,Vernon,CA,50.27,11.0,53,75,4.6,1522177200
470,Middle Island,US,40.88,6.45,52,1,3.1,1522178100
471,Samagaltay,RU,50.6,-7.38,73,0,1.92,1522180182
472,Ahuimanu,US,21.44,24.0,64,1,3.02,1522177020
473,Gravdal,NO,59.79,0.0,100,0,3.6,1522178400
474,Port Moresby,PG,-9.47,25.0,100,40,1.0,1522177200
475,San Andres,PH,13.32,24.47,100,88,6.72,1522179968
476,Sambava,MG,-14.27,26.25,100,0,6.32,1522180184
477,Eidsvag,NO,62.78,0.0,100,0,2.6,1522178400
478,Caceres,CO,5.53,24.65,82,32,1.02,1522180178
479,Saint-Francois,FR,46.42,12.0,81,92,4.1,1522179000
480,Srednekolymsk,RU,67.46,-19.46,61,12,0.67,1522179976
481,Fort Nelson,CA,58.81,-9.0,66,90,1.0,1522177200
482,Meulaboh,ID,4.14,24.75,100,88,2.42,1522179970
483,Rio Gallegos,AR,-51.62,14.0,41,0,11.3,1522177200
484,Jiazi,CN,19.61,19.0,100,20,2.0,1522177200
485,Dire,ET,9.18,16.0,29,0,5.1,1522177200
486,Santa Isabel do Rio Negro,BR,-0.41,28.5,83,24,1.57,1522180186
487,Zheleznodorozhnyy,RU,55.75,-5.75,62,0,3.0,1522177200
488,Matay,EG,28.42,21.7,59,68,0.32,1522179971
489,Ghatsila,IN,22.65,18.0,59,0,1.72,1522179971
490,Wenling,CN,28.38,9.05,100,20,1.77,1522180181
491,Ko Samui,TH,9.54,28.05,100,12,5.87,1522179946
492,Mamallapuram,IN,12.63,29.0,83,40,2.1,1522179000
493,Shirokiy,RU,53.87,-5.28,93,88,6.22,1522179973
494,Iguape,BR,-24.7,24.47,100,92,2.97,1522180183
495,Alta Floresta,BR,-9.87,23.0,100,40,2.6,1522177200
496,Saint-Pierre,FR,48.95,9.45,93,90,5.1,1522179000
497,Okakarara,NA,-20.59,19.25,85,76,2.12,1522180191
498,Beringovskiy,RU,63.05,-12.61,100,0,3.77,1522179983
499,Poronaysk,RU,49.22,-5.16,68,0,1.07,1522180185
500,Bumba,CD,2.18,23.72,93,48,1.37,1522180185
501,Manadhoo,MV,5.77,27.52,100,24,2.27,1522180192
502,Puerto del Rosario,ES,28.5,20.1,82,40,6.2,1522179000
503,Santa Isabel,CO,4.71,23.28,78,75,1.5,1522177200
504,Tirumakudal Narsipur,IN,12.21,19.6,72,8,2.02,1522180193
505,Todos Santos,MX,23.45,23.96,50,20,6.2,1522176780
506,Monaco-Ville,FR,43.73,11.28,82,0,1.5,1522179000
507,Scottsbluff,US,41.87,11.0,32,1,1.5,1522176780
508,Gharghoda,IN,22.18,17.8,54,0,1.27,1522179987
509,Christchurch,NZ,-43.53,11.0,76,0,1.5,1522179000
510,Mareeba,AU,-16.99,24.0,100,0,1.22,1522177200
511,Yerbogachen,RU,61.28,-9.41,79,64,2.77,1522180187
512,Atar,MR,20.52,22.4,30,32,2.97,1522180194
513,Wichian Buri,TH,15.66,22.72,92,8,1.87,1522180188
514,Balakhninskiy,RU,58.01,-10.86,83,76,1.07,1522180195
515,Chilliwack,CA,49.17,8.68,87,90,10.3,1522177200
516,Orsha,BY,54.51,-10.48,76,0,3.27,1522180189
517,Naryan-Mar,RU,67.67,-9.31,80,64,5.57,1522180196
518,Hobyo,SO,5.35,27.05,85,100,5.42,1522180197
519,Anori,BR,-3.74,31.02,70,0,1.62,1522180197
520,Iracoubo,GF,5.48,25.8,83,80,3.17,1522180191
521,Karpathos,GR,35.51,16.0,77,0,3.6,1522178400
522,Kapit,MY,2.02,21.87,99,48,0.77,1522179991
523,Voh,NC,-20.95,26.7,96,100,6.72,1522180191
524,Grindavik,IS,63.84,3.53,86,90,6.7,1522177200
525,Kalemie,CD,-5.95,24.47,100,12,1.52,1522180192
526,Ati,TD,13.21,26.75,34,0,2.22,1522180192
527,Camacha,PT,33.08,16.56,72,40,7.2,1522179000
528,Mopipi,BW,-21.2,23.85,62,0,5.92,1522179987
529,Dzhebariki-Khaya,RU,62.22,-8.46,74,80,3.92,1522180193
530,Santa Cruz de Tenerife,ES,28.47,16.75,93,75,4.6,1522179000
531,Eureka,US,40.8,12.57,76,1,8.2,1522179300
532,Gbadolite,CD,4.28,22.1,93,64,1.42,1522179989
533,Sandane,NO,61.77,-0.75,43,0,1.5,1522178400
534,Banda Aceh,ID,5.56,22.6,98,8,0.77,1522180158
535,Potiskum,NG,11.71,27.6,34,0,3.37,1522180194
536,Manggar,ID,-2.88,23.2,100,8,1.52,1522180200
537,Olinda,EC,-2.03,28.0,74,75,3.1,1522177200
538,Saint-Agapit,CA,46.56,5.54,51,75,4.1,1522177200
539,Beaufort,MY,5.36,25.11,94,75,1.12,1522179000
540,Mugur-Aksy,RU,50.38,-16.73,68,0,0.87,1522180202
541,Salinopolis,BR,-0.61,27.97,98,0,4.82,1522180176
542,Shchors,UA,51.82,-0.88,96,88,4.67,1522180203
543,Dekar,BW,-21.53,18.27,79,0,2.57,1522180203
544,Mackay,CA,53.65,0.03,79,90,2.6,1522178700
545,Puerto Escondido,MX,15.86,29.0,70,5,7.2,1522176060
546,Jacksonville,US,30.33,22.51,60,90,4.1,1522179300
547,Smithers,CA,54.78,5.0,52,40,6.2,1522177200
548,Moyale,ET,3.52,20.7,51,0,2.57,1522180118
549,Balkhash,KZ,46.84,0.05,83,20,0.87,1522180199
550,Rosarito,CO,4.91,25.13,72,48,3.1,1522177200
551,Juneau,US,58.3,0.08,100,90,0.87,1522179480
552,Tipuani,BO,-15.56,22.02,73,56,0.97,1522179994
553,Sorland,NO,67.67,1.0,69,90,3.6,1522178400
554,Isla Aguada,MX,18.78,32.0,52,5,8.7,1522176480
555,Dakar,SN,14.69,20.0,88,80,3.1,1522177200
556,Herat,AF,34.35,9.27,65,0,1.37,1522180208
557,Bara,NG,10.41,28.8,27,0,3.77,1522180202
558,Santa Cruz Cabralia,BR,-16.28,27.0,78,75,3.1,1522177200
559,Garowe,SO,8.41,23.37,57,0,3.62,1522179996
560,Otukpo,NG,7.19,28.3,73,0,5.62,1522179996
561,Manokwari,ID,-0.87,28.75,94,0,1.47,1522179996
562,Kaduqli,SD,11.01,24.75,65,12,1.72,1522180003
563,Paranaiba,BR,-19.68,27.9,73,24,1.87,1522180210
564,Trairi,BR,-3.28,27.6,100,32,6.57,1522180210
565,Belogorsk,UA,45.06,4.52,100,56,3.47,1522179997
566,Limbang,BN,4.75,25.62,100,75,1.5,1522179000
567,Saint Anthony,US,43.97,3.68,48,1,5.7,1522176960
568,Alice Springs,AU,-23.7,13.0,47,0,2.1,1522177200
569,Ambovombe,MG,-25.18,24.15,89,0,6.77,1522180205
570,Dongfeng,CN,42.67,9.37,66,20,5.22,1522180205
571,Kishtwar,IN,33.31,2.1,86,100,0.67,1522180000
572,Nyaunglebin,MM,17.95,24.62,72,48,0.97,1522180000
573,Moose Factory,CA,51.26,2.0,100,90,6.7,1522179120
574,Rezekne,LV,56.5,-6.26,76,68,1.52,1522180207
575,College,US,64.86,-10.07,37,1,1.5,1522177080
576,Sabha,LY,27.03,14.97,40,0,6.72,1522180207
577,Hotarele,RO,44.18,4.99,93,90,2.1,1522179000
578,Araguaina,BR,-7.19,30.22,61,56,2.67,1522179971
579,Rock Springs,US,41.59,2.0,47,1,6.2,1522176840
580,Abu Zabad,SD,12.35,23.1,47,0,2.22,1522180208
581,Ahtopol,BG,42.1,6.0,100,90,3.1,1522179000
582,Pedasi,PA,7.53,26.65,91,0,6.17,1522180002
583,Mount Isa,AU,-20.73,24.6,69,0,5.47,1522180215
584,Verkh-Suetka,RU,53.3,-6.36,85,0,5.22,1522180003
585,Jalu,LY,29.03,20.55,43,8,10.97,1522180216
586,Joensuu,FI,62.6,-7.0,52,0,2.1,1522178400
587,Sartell,US,45.62,5.89,44,1,2.6,1522178100
588,Dubbo,AU,-32.25,15.0,87,0,4.6,1522179000
589,Pereslavl-Zalesskiy,RU,56.74,-15.06,68,0,1.47,1522180217
590,Xiaoyi,CN,37.15,5.15,58,0,1.02,1522180218
591,Sao Miguel do Araguaia,BR,-13.28,26.1,85,24,1.42,1522180212
592,Acari,BR,-6.44,25.1,73,36,4.42,1522180219
593,Tecoanapa,MX,16.99,28.0,65,40,5.7,1522176180
594,Lipin Bor,RU,60.26,-16.71,58,8,1.12,1522180213
595,Solnechnyy,RU,50.72,-0.41,85,88,1.62,1522180215
596,Hualmay,PE,-11.1,23.8,67,0,1.97,1522180215
597,Kumphawapi,TH,17.11,23.47,64,44,3.67,1522180222
598,Lakatoro,VU,-16.11,26.6,100,100,1.42,1522180007
599,Quatre Cocos,MU,-20.21,25.0,83,20,1.5,1522177200
600,Nishihara,JP,35.74,13.02,71,1,1.5,1522177200
601,Maningrida,AU,-12.05,26.87,84,0,2.32,1522180219
602,Aneho,TG,6.23,29.0,83,20,5.7,1522177200
603,Rabo de Peixe,PT,37.8,17.0,82,20,5.1,1522179000
604,Dagda,LV,56.09,-7.63,70,32,1.32,1522180226
605,Sao Jose da Coroa Grande,BR,-8.9,26.15,88,92,4.07,1522180220
606,Andros Town,BS,24.73,26.0,44,40,7.2,1522177200
607,Alyangula,AU,-13.85,27.77,100,36,2.32,1522180179
608,Dargaville,NZ,-35.94,19.35,93,36,2.17,1522180220
609,Kachiry,KZ,53.07,-6.53,83,8,5.02,1522180018
610,Mundo Nuevo,CL,-32.72,21.6,72,0,4.6,1522177200
611,Bamiantong,CN,44.93,13.75,49,48,6.17,1522180227
612,Arzgir,RU,45.37,6.55,93,36,3.27,1522180221
613,Sholokhove,UA,47.69,0.4,98,0,2.57,1522180013
614,Santa Rosa,AR,-36.62,26.3,28,0,6.47,1522179949
615,Khani,GE,41.96,15.0,67,75,1.5,1522177200
616,Pringsewu,ID,-5.36,22.15,97,88,1.02,1522180222
617,Siguiri,GN,11.42,28.0,26,0,3.77,1522180222
618,Tocopilla,CL,-22.09,20.35,91,0,2.62,1522180019
619,Kupang,ID,-10.16,26.0,100,12,1.62,1522180026
620,Intipuca,SV,13.2,37.0,30,40,2.6,1522176600
621,Alofi,NU,-19.06,23.0,100,75,1.0,1522177200
622,Turukhansk,RU,65.8,-17.46,82,44,8.82,1522180223
623,Nemuro,JP,43.32,3.5,84,0,8.37,1522180224
624,Bull Savanna,JM,17.89,28.47,49,0,3.12,1522180224
625,Tivaouane,SN,14.95,24.0,58,88,3.77,1522180231
626,Codrington,AU,-28.95,20.7,99,92,2.72,1522180224
627,Aksha,RU,50.28,-7.78,52,0,3.87,1522180225
628,Maceio,BR,-9.67,29.0,66,20,5.7,1522177200
629,Cunha,BR,-23.08,29.92,46,75,2.6,1522177200
630,Kurilsk,RU,45.23,0.8,93,44,3.72,1522180226
631,Dubno,UA,50.42,0.02,94,88,2.77,1522180226
632,Jijiga,ET,9.35,9.7,93,0,1.12,1522180233
633,Pervomayskoye,RU,57.07,-3.56,89,76,5.92,1522180228
634,Tynaarlo,NL,53.08,6.0,87,90,2.1,1522178700
635,Limulunga,ZM,-15.13,19.45,92,68,1.22,1522180228
636,Noyabrsk,RU,63.2,-19.96,77,32,3.27,1522180026
637,Saint-Georges,CA,46.12,7.25,36,32,3.02,1522180027
638,Bilibino,RU,68.06,-25.91,42,0,1.12,1522180027
639,Saint-Alexandre,FR,44.23,12.01,58,90,2.1,1522179000
640,Canico,PT,32.63,16.43,67,20,7.7,1522179000
641,Kumluca,TR,36.37,3.37,75,0,0.62,1522180231
642,Krasnoarmeysk,RU,56.12,-6.0,48,0,3.0,1522177200
643,Abha,SA,18.22,18.0,82,0,1.5,1522177200
644,Kiruna,SE,67.86,-4.0,79,0,5.1,1522178400
645,Koscierzyna,PL,54.12,-1.0,58,0,4.6,1522179000
646,Birao,CF,10.3,30.5,36,12,4.52,1522180233
647,Nioro,GM,13.79,27.0,56,92,0.82,1522180233
648,Nhulunbuy,AU,-12.18,24.0,100,0,2.32,1522179000
649,Galle,US,29.74,26.0,69,75,5.1,1522178700
650,Pompeu,BR,-21.05,30.0,48,40,2.1,1522177200
651,Xining,CN,36.62,-6.73,65,0,0.42,1522179994
652,Koster,ZA,-25.86,21.0,73,0,1.0,1522177200
653,Austin,US,30.27,25.51,65,90,7.7,1522178100
654,Kalmunai,LK,7.42,23.12,100,56,1.12,1522180234
655,Andilamena,MG,-17.01,15.02,93,80,1.22,1522180032
656,Seymchan,RU,62.93,-15.66,68,76,1.02,1522180241
657,Maha Sarakham,TH,16.19,23.0,83,64,1.62,1522177200
658,Mangrol,IN,25.33,18.47,45,0,0.97,1522180033
659,Suntar,RU,62.16,-15.23,77,0,1.87,1522180241
660,Mondeville,FR,49.18,8.32,81,90,5.7,1522179000
661,Oriximina,BR,-1.77,30.2,66,44,2.52,1522180235
662,Komsomolskiy,RU,67.55,-25.38,61,36,6.17,1522180040
663,Ambanja,MG,-13.68,21.7,100,64,1.17,1522180242
664,Pitimbu,BR,-7.47,29.0,62,75,6.7,1522177200
665,Wana,PK,32.31,12.95,27,0,2.47,1522180237
666,Huesca,ES,42.14,13.0,66,0,11.3,1522179000
667,Srivardhan,IN,18.03,22.52,98,24,1.27,1522180237
668,Zielona Gora,PL,51.94,-1.0,92,40,1.0,1522179000
669,Tianmen,CN,30.65,13.25,86,8,2.97,1522180244
670,Cairo,EG,30.05,23.0,46,0,6.2,1522177200
671,Umm Kaddadah,SD,13.6,22.97,24,0,3.17,1522180238
672,Canutama,BR,-6.53,26.45,94,48,1.07,1522180245
673,San Quintin,PH,17.54,16.22,86,8,1.22,1522180038
674,Leningradskiy,RU,69.38,-17.78,97,48,1.67,1522180150
675,Chizhou,CN,30.67,10.72,85,0,1.37,1522180045
676,Kidal,ML,18.44,23.22,21,48,5.82,1522180239
677,Evensk,RU,61.92,-12.71,100,80,3.12,1522180240
678,Teya,MX,21.05,34.0,28,5,9.3,1522176300
679,Uitenhage,ZA,-33.77,20.0,88,0,2.1,1522177200
680,Salym,RU,60.06,-11.01,68,0,2.32,1522180241
681,Esmeraldas,BR,-19.76,27.5,39,40,4.6,1522177200
682,Roura,GF,4.73,29.0,66,75,7.2,1522177200
683,Port-Gentil,GA,-0.72,27.0,83,40,2.1,1522177200
684,Along,IN,28.17,11.02,86,0,0.82,1522180248
685,Torma,EE,58.82,-4.0,53,0,1.5,1522176600
686,Guilin,CN,25.28,15.0,93,92,1.0,1522177200
687,Thoen,TH,17.61,18.62,94,0,0.57,1522180242
688,Saravan,AM,39.72,12.0,50,40,3.1,1522177200
689,Mocuba,MZ,-16.84,25.72,85,92,1.67,1522180249
690,Elizabeth City,US,36.3,8.81,75,90,2.6,1522178400
691,Mariental,DE,52.28,7.0,83,0,3.6,1522176600
692,Crnici,BA,43.13,11.0,40,20,1.5,1522177200
693,Sidi Ali,DZ,36.1,8.9,75,0,1.12,1522180251
694,Coihaique,CL,-45.58,12.3,76,90,2.6,1522177200
695,Yen Bai,VN,21.7,18.97,99,88,2.02,1522180245
696,Morondava,MG,-20.3,28.6,73,0,3.32,1522180109
697,La Rioja,AR,-29.41,24.25,45,0,1.87,1522180047
