,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
Kvarkeno,RU,52.08,59.73,12.65,60,0,4.94,1522711397
Kysyl-Syr,RU,63.9,122.77,4.91,51,0,9.19,1522711433
La Orilla,MX,18,-102.23,80.24,71,0,7.4,1522711399
La Plata,AR,-34.92,-57.95,70.72,73,40,9.17,1522706400
La Rioja,AR,-29.41,-66.86,68.45,73,56,3.38,1522711472
La Ronge,CA,55.1,-105.3,14,43,20,5.82,1522710000
Labuhan,ID,-2.54,115.51,74.48,93,32,2.71,1522711348
Lac du Bonnet,CA,50.25,-96.06,13.68,51,0,6.17,1522711449
Lagoa,PT,37.14,-8.45,59,93,40,5.82,1522710000
Laguna,MX,27.52,-110.01,87.8,14,5,14.99,1522709400
Lakatoro,VU,-16.11,167.42,79.16,100,92,4.16,1522711192
Lakes Entrance,AU,-37.88,147.99,63.86,85,20,6.4,1522711351
Lakhisarai,IN,25.18,86.09,66.06,69,0,4.94,1522711436
Lamas,PE,-6.42,-76.52,75.2,94,40,1.92,1522710000
Lao Cai,VN,22.48,103.95,63.63,95,92,1.25,1522711333
Lasa,CY,34.92,32.53,57.42,82,20,4.7,1522710000
Lata,IN,30.78,78.62,48.83,73,68,2.37,1522711176
Launceston,AU,-41.43,147.14,59,72,0,10.29,1522710000
Lavras,BR,-21.24,-45,68.45,89,56,4.94,1522711310
Lavrentiya,RU,65.58,-170.99,27.5,100,0,1.92,1522711419
Lazaro Cardenas,MX,28.39,-105.62,87.8,8,40,20.8,1522709280
Lebu,ET,8.96,38.73,49.73,88,44,2.59,1522711117
Leh,IN,34.16,77.58,5.4,90,76,0.92,1522711349
Leningradskiy,RU,69.38,178.42,27,91,12,5.84,1522711313
Lere,TD,9.66,14.23,74.43,52,0,3.71,1522711406
Lerum,SE,57.77,12.27,24.8,68,0,2.15,1522709400
Lerwick,GB,60.15,-1.15,34.72,100,68,5.82,1522709400
Lewistown,US,40.39,-90.15,37.94,86,90,10.29,1522710900
Lichuan,CN,30.3,108.94,50.99,80,0,3.15,1522711433
Lima,PE,-12.06,-77.04,62.69,79,36,1.92,1522711135
Linfen,CN,36.09,111.52,57.51,56,0,2.15,1522711421
Linhares,BR,-19.38,-40.06,78.08,71,8,10.09,1522711335
Linjiang,CN,41.81,126.91,32.58,89,92,5.28,1522711313
Lira,UG,2.25,32.9,65.25,98,56,2.71,1522711525
Lithakia,GR,37.72,20.83,48.2,87,0,8.08,1522709400
Liwonde,MW,-15.05,35.2,66.83,100,92,3.15,1522711425
Llanes,ES,43.42,-4.75,42.98,77,0,7.52,1522711322
Locri,IT,38.24,16.26,52.27,76,0,3.36,1522709700
Lompoc,US,34.64,-120.46,60.49,67,75,12.75,1522710660
Longyearbyen,NO,78.22,15.63,10.4,60,20,17.22,1522709400
Lorengau,PG,-2.02,147.27,80.96,100,64,6.29,1522711329
Los Llanos de Aridane,ES,28.66,-17.92,64.4,72,20,9.17,1522710000
Luau,CD,-10.7,22.23,65.07,95,64,2.26,1522711325
Lucapa,AO,-8.42,20.74,66.33,99,68,4.61,1522711472
Luderitz,NA,-26.65,15.16,64.4,77,88,5.82,1522706400
Lufilufi,WS,-13.87,-171.6,87.8,66,40,10.29,1522706400
Luganville,VU,-15.51,167.18,78.93,100,92,6.85,1522711495
Lunenburg,US,42.59,-71.72,40.24,45,1,8.05,1522709760
Luwuk,ID,-0.95,122.79,80.96,94,8,2.15,1522711371
Maceio,BR,-9.67,-35.74,77,88,20,4.7,1522710000
Mackay,CA,53.65,-115.58,29.3,30,20,4.7,1522710000
Madang,PG,-5.21,145.81,77.58,100,64,2.93,1522711353
Madimba,CM,4.42,9.93,77,100,75,2.93,1522710000
Mago,RU,53.27,140.15,26.96,73,76,13.44,1522711446
Mahalapye,BW,-23.11,26.83,67.23,81,92,7.52,1522711376
Mahebourg,MU,-20.41,57.7,80.6,83,75,4.7,1522706400
Mahibadhoo,MV,3.78,72.97,84.51,100,76,5.61,1522711395
Majene,ID,-3.54,118.97,80.91,100,12,6.06,1522711376
Makakilo City,US,21.35,-158.09,77.02,78,90,14.99,1522710660
Malanje,AO,-9.54,16.35,66.51,99,56,3.38,1522711493
Male,UA,50.74,33.7,30.96,88,20,10.87,1522711353
Malgrat de Mar,ES,41.65,2.74,52.75,100,75,2.24,1522710000
Malm,NO,64.07,11.22,28.4,100,75,4.7,1522709400
Manadhoo,MV,5.77,73.38,84.6,100,64,4.72,1522711488
Mandalgovi,MN,45.76,106.27,21.33,68,80,7.74,1522711463
Mandera,ET,3.94,41.86,72.72,93,56,3.15,1522711304
Mandiana,GN,10.62,-8.7,74.93,69,20,2.59,1522711405
Mandla,IN,22.6,80.37,61.7,57,0,4.16,1522711461
Mangai,CD,-4.07,19.59,70.92,100,92,2.59,1522710910
Mangan,IN,27.5,88.54,25.61,76,8,2.15,1522711517
Manggar,ID,-2.88,108.27,78.08,100,8,2.93,1522711207
Maniitsoq,GL,65.42,-52.9,21.96,61,0,5.39,1522711297
Manjacaze,MZ,-24.71,33.88,70.47,93,0,5.28,1522711500
Manokwari,ID,-0.87,134.08,83.07,98,24,5.84,1522710974
Manta,RO,45.1,24.1,30.96,78,0,2.37,1522711452
Manzhouli,CN,49.6,117.43,19.76,29,0,18.37,1522711150
Mapastepec,MX,15.44,-92.9,74.48,84,68,2.04,1522711432
Maputo,MZ,-25.97,32.57,73.4,83,20,1.12,1522706400
Mar del Plata,AR,-46.43,-67.52,71.24,48,48,24.63,1522711166
Marawi,PH,8,124.29,74.25,84,12,2.93,1522711238
Margate,AU,-43.03,147.26,62.6,55,75,12.75,1522710000
Mariental,DE,52.28,10.99,44.01,86,92,9.75,1522711324
Marrakesh,MA,31.63,-7.99,60.8,55,75,3.36,1522710000
Marsaxlokk,MT,35.84,14.54,53.6,76,0,4.7,1522709100
Marsh Harbour,BS,26.54,-77.06,72.95,100,76,14,1522711442
Mashivka,UA,49.44,34.87,34.16,97,0,9.53,1522711349
Masvingo,ZW,-20.08,30.83,59.13,95,0,6.73,1522711433
Matadi,CD,-5.83,13.46,75.96,98,92,3.38,1522711363
Matamoros,US,25.87,-97.51,82.04,65,20,29.97,1522709700
Mataura,NZ,-46.19,168.86,59,66,36,20.83,1522710988
Matveyevka,UA,45.75,33.81,40.68,82,8,7.96,1522711319
Mazagao,BR,-0.12,-51.29,77,100,40,12.75,1522708920
Mazarron,ES,37.6,-1.31,45,89,32,2.59,1522711321
Mecca,SA,21.43,39.83,84.2,62,0,2.37,1522706400
Mehamn,NO,71.03,27.85,25.47,89,56,11.21,1522711358
Menongue,AO,-14.66,17.68,62.06,98,76,2.04,1522711373
Menzelinsk,RU,55.73,53.11,33.8,64,0,13.42,1522708200
Mersing,MY,2.43,103.84,79.34,88,8,7.18,1522710980
Messina,IT,38.19,15.55,52.43,76,0,3.36,1522709700
Meulaboh,ID,4.14,96.13,78.21,100,0,4.61,1522711398
Micheweni,TZ,-4.97,39.83,75.33,100,88,4.38,1522711185
Micomeseng,GQ,2.15,10.62,71.78,97,88,2.04,1522711528
Mikkeli,FI,61.69,27.27,30.2,92,90,8.05,1522709400
Milkovo,BG,41.53,24.68,45.63,79,0,9.17,1522710000
Minbu,MM,20.18,94.88,69.03,97,48,2.37,1522711323
Mirnyy,RU,56.57,36.46,34.79,95,92,13.56,1522711371
Mishelevka,RU,52.86,103.17,7.25,67,0,4.16,1522711378
Miyang,CN,24.4,103.44,54.72,79,24,3.6,1522711521
Miyazu,JP,35.58,135.2,64.04,86,0,3.71,1522711352
Mizan Teferi,ET,6.99,35.58,58.05,91,0,2.71,1522711311
Mizdah,LY,31.45,12.98,54.05,56,0,6.85,1522711436
Mmabatho,ZA,-25.85,25.61,60.8,87,20,4.7,1522706400
Mnogovershinnyy,RU,53.94,139.92,26.24,77,80,9.64,1522711266
Mogadishu,SO,2.04,45.34,82.76,100,64,6.96,1522711237
Moose Factory,CA,51.26,-80.61,6.8,60,40,11.41,1522710540
Morgan City,US,29.7,-91.21,77.81,65,1,12.75,1522709760
Mosetse,BW,-20.64,26.64,71.69,40,0,13.78,1522711336
Mount Gambier,AU,-37.83,140.78,63.14,77,12,3.6,1522710940
Mount Isa,AU,-20.73,139.49,84.2,30,0,13.87,1522710000
Mount Juliet,US,36.2,-86.52,55.78,68,20,4.7,1522709760
Moussoro,TD,13.64,16.49,72.81,18,0,10.42,1522711366
Mozarlandia,BR,-14.74,-50.57,76.28,82,32,2.59,1522711516
Mpanda,TZ,-6.34,31.07,64.58,94,80,2.93,1522711527
Muisne,EC,0.61,-80.02,73.76,92,100,4.83,1522711400
Muravlenko,RU,63.79,74.5,-4.59,81,32,12.44,1522710862
Muros,ES,42.77,-9.06,50,93,75,16.11,1522710000
Muscat,OM,23.6,58.55,82.4,28,0,2.24,1522705800
Mvangue,CM,2.97,11.5,68.76,100,48,2.15,1522711428
Mwene-Ditu,CD,-7.01,23.45,66.51,99,92,6.62,1522711507
Mwinilunga,ZM,-11.73,24.43,62.15,99,24,2.26,1522711329
Myitkyina,MM,25.38,97.4,63.14,90,20,3.49,1522711343
Najran,SA,17.54,44.22,73.4,31,40,4.7,1522706400
Namatanai,PG,-3.66,152.44,82.62,100,56,3.04,1522711317
Namibe,AO,-15.19,12.15,78.8,100,88,3.04,1522711251
Nanortalik,GL,60.14,-45.24,33.57,100,48,27.09,1522711268
Naqadeh,IR,36.96,45.39,40.95,88,0,4.38,1522711514
Narsaq,GL,60.91,-46.05,42.8,30,56,10.29,1522709400
Naze,NG,5.43,7.07,78.8,88,44,2.24,1522706400
Necochea,AR,-38.55,-58.74,59.81,78,0,9.19,1522711254
Nemuro,JP,43.32,145.57,39.15,87,32,22.17,1522711311
Nerchinskiy Zavod,RU,51.31,119.61,18.72,39,68,7.74,1522711374
New Norfolk,AU,-42.78,147.06,62.6,55,75,12.75,1522710000
Nezhinka,RU,51.77,55.37,26.6,73,0,8.95,1522708200
Nikolskoye,RU,59.7,30.79,35.6,93,90,6.71,1522708200
Nioro,GM,13.79,-15.05,77.63,32,0,11.1,1522711393
Nishihara,JP,35.74,139.53,58.33,72,40,4.7,1522709760
Nizhniy Odes,RU,63.64,54.86,24.98,75,80,8.08,1522711519
Nizwa,OM,22.93,57.53,61.79,49,0,2.71,1522711236
Nkhata Bay,MW,-11.61,34.3,67.5,100,80,3.38,1522711422
Nome,US,30.04,-94.42,76.55,69,75,12.75,1522709700
Norman Wells,CA,65.28,-126.83,12.2,47,75,16.11,1522710000
North Bend,US,43.41,-124.22,48.97,61,75,11.41,1522709760
Northam,GB,51.04,-4.21,48.2,100,40,12.75,1522705800
Novoagansk,RU,61.94,76.66,-2.3,73,8,5.61,1522711410
Novosergiyevka,RU,52.08,53.65,28.31,87,24,11.43,1522711419
Novovasylivka,UA,48.2,37.04,41.81,89,88,13.22,1522711529
Nuevo Emperador,PA,9,-79.73,86,48,20,12.75,1522710000
Nuevo Progreso,US,26.05,-97.95,83.07,58,1,25.28,1522709700
Nurota,UZ,40.56,65.69,53.6,71,20,11.41,1522706400
Nuuk,GL,64.17,-51.74,35.6,47,20,13.87,1522709400
Nyeri,KE,-0.42,36.95,59.45,100,64,2.37,1522711522
Nyurba,RU,63.29,118.35,5.18,51,0,4.16,1522711482
Oda,JP,35.19,132.5,53.6,81,20,11.41,1522706400
Odda,NO,60.07,6.55,-1.4,61,48,1.7,1522711404
Okahandja,NA,-21.98,16.91,62.6,72,64,4.7,1522706400
Oktyabrskoye,RU,56.73,85.44,23.13,88,88,5.5,1522711524
Olga,US,34.11,-118.17,65.82,52,75,11.41,1522709880
Olinda,EC,-2.03,-79.75,84.2,66,90,5.82,1522710000
Ondjiva,AO,-17.07,15.73,64.53,99,92,4.72,1522711409
Onega,RU,63.91,38.09,38.61,87,92,14.23,1522711413
Opichen,MX,20.55,-89.85,91.4,43,40,13.87,1522709280
Opuwo,NA,-18.06,13.84,62.78,97,68,3.15,1522711461
Oranjestad,AW,12.52,-70.03,82.4,78,40,18.34,1522706400
Oriximina,BR,-1.77,-55.87,77.54,96,76,2.26,1522710946
Ossora,RU,59.24,163.07,32.63,99,92,17.02,1522711486
Ostroh,UA,50.33,26.52,35.24,94,12,9.98,1522711366
Ostrov,RU,57.34,28.36,32,89,80,8.95,1522706400
Ostrovnoy,RU,68.05,39.51,24.89,94,92,20.6,1522711184
Otjimbingwe,NA,-22.35,16.13,62.24,97,92,3.38,1522711486
Ottawa,CA,45.42,-75.69,38.3,51,40,8.05,1522710000
Ouegoa,NC,-20.34,164.44,74.84,100,100,11.77,1522711500
Owando,CG,-0.49,15.91,72.23,98,36,2.15,1522711476
Paamiut,GL,61.99,-49.67,33.98,84,64,10.65,1522711144
Pacific Grove,US,36.62,-121.92,63.55,63,1,9.17,1522709700
Padang,ID,-0.92,100.36,77.9,100,56,4.16,1522710981
Paita,PE,-5.09,-81.11,75.74,65,20,7.63,1522711435
Pak Chong,TH,14.71,101.42,72.18,92,44,3.15,1522711128
Palana,RU,59.08,159.95,36.45,81,32,2.71,1522711379
Palmer,AU,-34.85,139.16,64.4,63,75,9.17,1522710000
Palu,ID,-0.9,119.87,71.06,78,20,1.92,1522711326
Pandan,PH,11.72,122.09,78.71,100,76,9.98,1522711213
Pangnirtung,CA,66.15,-65.72,35.6,55,75,20.8,1522706400
Panzhihua,CN,26.59,101.72,51.08,56,8,2.26,1522711532
Parana,BR,-7.52,-72.89,78.8,88,75,3.36,1522710000
Pascagoula,US,30.37,-88.56,75.6,69,1,10.29,1522709760
Pasighat,IN,28.06,95.33,61.11,63,12,2.04,1522711483
Pasni,PK,25.26,63.48,77.13,100,36,6.4,1522711480
Patacamaya,BO,-17.23,-67.92,43.47,45,12,6.17,1522711434
Pathein,MM,16.78,94.73,76.01,93,12,2.37,1522711432
Pauini,BR,-7.71,-67,80.33,87,64,2.26,1522711433
Pedernales,EC,0.07,-80.05,74.03,88,24,6.73,1522711361
Pemba,MZ,-12.97,40.52,75.2,94,75,8.05,1522706400
Petatlan,MX,17.52,-101.27,86,66,5,11.41,1522709040
Peterhead,AU,-34.83,138.5,64.4,63,75,9.17,1522710000
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,19.4,57,32,2.24,1522708200
Pevek,RU,69.7,170.27,32.18,84,8,13.44,1522711187
Phan Thiet,VN,10.93,108.1,75.78,99,0,10.2,1522711310
Phangnga,TH,8.45,98.53,75.85,88,20,2.24,1522708200
Pierre,US,44.37,-100.35,32,60,90,24.16,1522709580
Pilar,AR,-34.46,-58.91,70.41,73,0,11.41,1522706400
Pimentel,BR,-3.7,-45.5,72.5,100,92,3.71,1522711487
Pingliang,CN,35.54,106.68,48.06,51,0,11.65,1522711444
Pisco,PE,-13.71,-76.2,78.8,57,0,12.75,1522706400
Plettenberg Bay,ZA,-34.05,23.37,66.33,93,80,4.94,1522711172
Pojuca,BR,-12.42,-38.33,80.6,74,0,10.29,1522710000
Ponta Delgada,PT,37.73,-25.67,59,67,40,20.8,1522710000
Ponta do Sol,BR,-20.63,-46,66.38,93,56,2.93,1522710862
Pontes e Lacerda,BR,-15.23,-59.33,69.44,97,92,3.94,1522711374
Port Alberni,CA,49.24,-124.81,49.06,39,75,5.82,1522710000
Port Alfred,ZA,-33.59,26.89,71.06,90,36,8.75,1522711187
Port Augusta,AU,-32.49,137.76,62.6,72,0,14.99,1522710000
Port Elizabeth,US,39.31,-74.98,43.2,65,90,5.28,1522709700
Port Hardy,CA,50.7,-127.42,41,75,90,9.17,1522710000
Port Lincoln,AU,-34.72,135.86,64.62,90,0,4.05,1522711402
Port Macquarie,AU,-31.43,152.91,75.2,78,75,9.17,1522710000
Port-Cartier,CA,50.03,-66.88,23,20,20,6.93,1522710000
Port-Gentil,GA,-0.72,8.78,78.8,94,20,4.7,1522706400
Portland,US,45.52,-122.67,51.35,53,75,3.38,1522709760
Porto Walter,BR,-8.27,-72.74,77.76,90,24,2.15,1522711371
Poso,ID,-1.4,120.75,79.38,100,56,2.82,1522711515
Poum,MK,41.28,20.71,30.38,92,0,2.15,1522711306
Praia,BR,-20.25,-43.81,75.2,69,20,2.24,1522706400
Praia da Vitoria,PT,38.73,-27.07,59,67,20,32.12,1522710000
Prattville,US,32.46,-86.46,77.95,47,1,5.82,1522709760
Preobrazheniye,RU,42.9,133.91,40.46,44,76,6.4,1522710876
Progreso,UY,-34.68,-56.22,68,77,75,12.75,1522710000
Proletariy,RU,58.43,31.7,33.48,96,88,12.77,1522711427
Provideniya,RU,64.42,-173.23,24.8,100,90,4.47,1522708200
Puerto Ayacucho,CO,5.66,-67.63,96.8,39,40,4.7,1522706400
Puerto Ayora,EC,-0.74,-90.35,78.8,78,75,10.29,1522706400
Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.95,100,0,5.5,1522710974
Puerto El Triunfo,SV,13.27,-88.55,89.02,66,40,10.29,1522709400
Puerto Escondido,MX,15.86,-97.07,82.4,74,40,6.93,1522705500
Puerto Madryn,AR,-42.77,-65.04,74.16,51,0,17.25,1522711505
Punta Alta,AR,-27.46,-55.82,75.2,73,40,5.82,1522706400
Punta Arenas,CL,-53.16,-70.91,48.2,70,75,11.41,1522706400
Punta Cardon,VE,11.61,-70.22,84.2,66,20,19.04,1522706400
Puri,ID,-7.54,112.45,72.86,95,20,4.38,1522711418
Pyay,MM,18.82,95.22,70.16,96,0,3.04,1522711520
Qaanaaq,GL,77.48,-69.36,-3.2,74,0,7.74,1522711180
Qaqortoq,GL,60.72,-46.03,42.8,30,20,10.29,1522709400
Qeshm,IR,26.96,56.27,73.51,83,0,5.84,1522706400
Qinzhou,CN,21.96,108.62,69.03,94,68,7.74,1522711454
Quang Ngai,VN,15.12,108.8,64.53,84,0,2.15,1522711478
Quatre Cocos,MU,-20.21,57.76,78.8,88,75,4.7,1522710000
Quelimane,MZ,-17.88,36.89,77,88,75,2.82,1522706400
Quilmana,PE,-12.95,-76.38,64.8,87,24,2.82,1522711386
Raha,NG,10.89,8.13,70.38,53,0,3.6,1522711319
Rassvet,MD,47.2,28.43,41.05,69,0,5.82,1522710000
Raudeberg,NO,61.99,5.14,32,100,0,8.05,1522709400
Rawson,AR,-43.3,-65.11,68.18,33,0,7.07,1522711181
Raymond,US,43.04,-71.18,39.76,41,20,6.93,1522709760
Razole,IN,16.48,81.84,82.71,99,0,12.77,1522711438
Reno,US,39.53,-119.81,59.54,16,75,20.8,1522709700
Ribeira Grande,PT,38.52,-28.7,60.89,100,48,27.31,1522710896
Richards Bay,ZA,-28.77,32.06,74.93,80,36,11.21,1522711162
Rikitea,PF,-23.12,-134.97,78.35,100,32,4.94,1522710992
Rio Grande,BR,-32.03,-52.1,71.6,88,0,8.41,1522705500
Riyadh,SA,24.63,46.72,75.2,22,92,4.7,1522706400
Roald,NO,62.58,6.12,27.37,100,0,10.29,1522709400
Rocha,UY,-34.48,-54.34,64.76,95,68,8.97,1522711328
Roebourne,AU,-20.77,117.15,85.55,50,0,11.21,1522711447
Rongcheng,CN,37.16,122.42,48.15,93,92,13.56,1522711364
Rosarno,IT,38.49,15.98,50.32,76,0,3.36,1522709700
Ruteng,ID,-8.61,120.46,76.19,88,0,3.71,1522711441
Sabang,PH,13.72,123.58,78.57,97,64,7.07,1522711459
Sabya,YE,16.19,43.1,67.77,69,8,2.71,1522711511
Sabzevar,IR,36.21,57.68,44.1,80,0,3.6,1522711494
Safita,SY,34.82,36.12,57.2,87,0,6.93,1522710000
Saint Anthony,US,43.97,-111.68,36.73,37,75,35.57,1522708320
Saint George,GR,39.45,22.34,44.6,81,20,4.7,1522709400
Saint-Denis,FR,48.94,2.36,52.92,71,0,8.05,1522710000
Saint-Francois,FR,46.42,3.91,53.6,40,0,11.41,1522710000
Saint-Georges,CA,46.12,-70.67,27.95,55,24,5.61,1522711470
Saint-Leu,RE,-21.15,55.28,77.94,69,0,5.82,1522710000
Saint-Philippe,CA,45.36,-73.48,38.3,44,1,14.99,1522710000
Saint-Pierre,FR,48.95,4.24,53.78,71,0,11.41,1522710000
Sainte-Anne-des-Monts,CA,49.13,-66.49,21.65,100,0,5.39,1522711510
Salalah,OM,17.01,54.1,80.6,78,75,5.82,1522705800
Saldanha,PT,41.42,-6.55,49.95,80,44,14.12,1522710925
Salina Cruz,MX,16.18,-95.2,82.31,56,0,6.73,1522711468
Salinopolis,BR,-0.61,-47.36,79.02,100,80,11.1,1522711344
Salisbury,GB,51.07,-1.8,49.32,93,88,17.22,1522705800
Salym,RU,60.06,71.48,11.3,78,0,6.06,1522711488
Samana,EC,0.12,-76.97,77,94,75,3.36,1522710000
Samarai,PG,-10.62,150.67,82.76,100,64,6.73,1522711502
Sambava,MG,-14.27,50.17,76.46,100,92,11.77,1522711279
Sampit,ID,-2.54,112.95,74.03,99,36,4.61,1522711400
Samut Sakhon,TH,13.55,100.27,76.1,83,20,3.36,1522708200
San Carlos,VE,9.66,-68.59,87.8,66,20,2.37,1522710000
San Carlos de Bariloche,AR,-41.13,-71.31,71.6,33,0,16.11,1522706400
San Cristobal,EC,-0.39,-78.55,55.4,82,90,3.36,1522706400
San Jose,PH,15.79,120.99,71.78,100,76,2.71,1522711091
San Juan,AR,-31.54,-68.53,60.26,82,0,1.14,1522711088
San Juan de la Vega,MX,20.62,-100.76,82.4,18,75,11.41,1522709040
San Lorenzo,HN,13.43,-87.45,84.38,72,0,11.21,1522711483
San Patricio,PY,-26.98,-56.83,71.15,80,56,3.71,1522711163
San Pedro de Uraba,CO,8.28,-76.38,80.6,69,40,11.41,1522710000
San Quintin,PH,17.54,120.52,73.4,83,20,4.7,1522710000
San Rafael,AR,-34.61,-68.33,64.94,52,0,7.29,1522711506
Sandpoint,US,48.28,-116.55,36.14,59,90,12.75,1522708500
Sangar,RU,63.92,127.47,10.8,65,76,12.44,1522711440
Sangmelima,CM,2.93,11.98,68.63,95,32,2.37,1522711378
Santa Cruz,US,36.97,-122.03,66.2,72,1,8.05,1522709760
Santa Cruz Cabralia,BR,-16.28,-39.02,80.6,74,20,8.05,1522710000
Santa Lucia,IT,39.93,9.66,53.6,81,20,3.36,1522709700
Sanwer,IN,22.97,75.83,70.16,28,0,7.29,1522711350
Sao Desiderio,BR,-12.36,-44.97,76.77,68,20,5.84,1522711328
Sao Felix do Xingu,BR,-6.64,-51.99,77,92,76,2.15,1522711399
Sao Filipe,CV,14.9,-24.5,69.08,100,24,17.13,1522711193
Sao Joao da Barra,BR,-21.64,-41.05,80.6,74,0,9.17,1522706400
Saskylakh,RU,71.97,114.09,-9.05,67,0,8.63,1522711319
Sedhiou,SN,12.71,-15.56,89.6,33,0,2.24,1522706400
Sehithwa,BW,-20.47,22.7,66.2,61,0,11.21,1522711322
Selaphum,TH,16.03,103.94,71.6,83,64,3.36,1522706400
Seoul,KR,37.57,126.98,60.42,82,75,3.71,1522709760
Serowe,BW,-22.4,26.7,61.79,79,36,9.53,1522711324
Sesheke,NA,-17.47,24.29,64.85,71,0,6.73,1522711378
Severo-Kurilsk,RU,50.68,156.12,31.19,99,92,17.47,1522711307
Seymchan,RU,62.93,152.39,29.48,83,80,5.95,1522711372
Shakawe,BW,-18.36,21.84,66.83,51,0,8.63,1522711385
Shimoda,JP,34.7,138.93,61.34,100,12,5.39,1522711347
Shingu,JP,33.72,135.99,62.6,82,0,2.24,1522708800
Shiraz,IR,29.61,52.54,59,14,0,6.93,1522708200
Shubarkuduk,KZ,49.15,56.49,27.59,67,0,12.66,1522711492
Shubarshi,KZ,48.59,57.19,25.92,75,0,12.88,1522711525
Sibolga,ID,1.74,98.78,68.81,100,64,2.15,1522711251
Sibu,MY,2.29,111.83,75.2,94,75,3.36,1522710000
Sinnamary,GF,5.38,-52.96,78.93,100,92,8.63,1522711243
Sinop,TR,42.03,35.15,49.95,87,12,6.73,1522711463
Sioux Lookout,CA,50.1,-91.92,13.24,23,20,3.36,1522710000
Sisimiut,GL,66.94,-53.67,11.84,73,8,2.15,1522711510
Sitka,US,37.17,-99.65,76.28,35,0,22.28,1522711200
Sitrah,BH,26.15,50.62,75.2,53,0,6.93,1522710000
Skibbereen,IE,51.55,-9.27,46.4,100,75,9.17,1522708200
Skjervoy,NO,70.03,20.97,28.08,100,64,10.98,1522711403
Skovorodino,RU,53.99,123.94,18.68,31,0,12.44,1522711401
Smithers,CA,54.78,-127.17,33.8,31,90,9.17,1522710000
Sobolevo,RU,54.43,31.9,32.85,93,92,14.12,1522711464
Sola,NO,58.89,5.65,30.99,100,0,4.7,1522709400
Solnechnyy,RU,50.72,136.64,28.08,55,24,10.09,1522711495
Sorland,NO,67.67,12.69,33.53,100,0,4.72,1522711295
Soroti,UG,1.71,33.61,65.03,100,56,2.93,1522711301
Sosua,DO,19.77,-70.52,77.83,78,40,5.82,1522710000
Sotouboua,TG,8.56,0.98,77.31,83,36,8.52,1522711395
Souillac,FR,45.6,-0.6,56.21,58,0,19.46,1522710000
Sovetskiy,RU,56.76,48.47,32.09,92,76,15.46,1522711269
Soyo,AO,-6.13,12.37,76.55,94,76,2.59,1522711434
Spasskoye,RU,55.86,45.7,34.11,95,64,15.46,1522711494
Srednekolymsk,RU,67.46,153.71,31.23,72,0,6.62,1522711357
Stara Vyzhivka,UA,51.44,24.44,34.38,91,0,8.86,1522711397
Stokmarknes,NO,68.56,14.91,21.2,73,0,5.82,1522705800
Straumen,NO,63.87,11.3,28.4,100,75,4.7,1522709400
Strezhevoy,RU,60.73,77.6,10.4,92,20,13.42,1522708200
Sturgeon Bay,US,44.83,-87.38,33.22,82,90,10.29,1522709760
Suixi,CN,33.92,116.76,68.85,92,0,6.62,1522711478
Sunds,DK,56.2,9.01,34.61,91,92,5.82,1522709400
Sungaipenuh,ID,-2.08,101.38,66.65,98,64,0.92,1522711479
Suntar,RU,62.16,117.65,6.8,55,0,3.71,1522711417
Svarstad,NO,59.4,9.97,25.66,100,24,2.24,1522709400
Syedove,UA,47.08,38.16,44.51,93,92,11.77,1522711450
Sylacauga,US,33.17,-86.25,75.9,50,1,8.05,1522709700
Tacuati,PY,-23.46,-56.74,72.95,82,44,2.59,1522711362
Tagaytay,PH,14.12,120.96,80.6,83,40,1.12,1522710000
Tagusao,PH,9.19,117.81,79.11,91,0,4.61,1522711512
Takoradi,GH,4.89,-1.75,81.05,98,32,6.29,1522711069
Talcahuano,CL,-36.72,-73.12,55.4,93,90,5.82,1522706400
Talnakh,RU,69.49,88.39,-21.2,61,12,2.82,1522710958
Taltal,CL,-25.41,-70.49,58.19,91,0,2.37,1522711388
Tame,CO,6.46,-71.72,59.63,96,36,0.58,1522711308
Tanete,ID,-3.94,119.78,80.73,86,0,4.5,1522711332
Tangshan,CN,39.63,118.17,47.03,63,100,21.94,1522711323
Taoudenni,ML,22.68,-3.98,80.15,18,8,9.64,1522711503
Tara,JP,33,130.15,58.95,72,20,11.41,1522708200
Tasiilaq,GL,65.61,-37.64,17.6,78,8,5.82,1522709400
Tateyama,JP,36.66,137.31,60.8,55,75,6.93,1522706400
Taunggyi,MM,20.78,97.03,56.97,93,20,2.15,1522711428
Tautira,PF,-17.73,-149.15,86,62,75,2.24,1522710000
Te Anau,NZ,-45.41,167.72,50.54,79,44,13.78,1522710696
Tekeli,KZ,44.86,78.76,21.56,77,20,1.7,1522711506
Teknaf,BD,20.86,92.31,72.9,88,64,4.72,1522710946
Telemaco Borba,BR,-24.32,-50.62,61.34,95,36,3.27,1522711521
Terenos,BR,-20.44,-54.87,69.8,100,40,2.24,1522710000
Tessalit,ML,20.2,1.01,66.56,30,0,3.15,1522711250
Texistepec,MX,17.89,-94.82,82.4,61,5,11.41,1522708860
Tezu,IN,27.93,96.16,61.43,49,0,1.92,1522711071
The Valley,AI,18.22,-63.06,78.89,73,20,8.05,1522706400
