,Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
373,Istok,PL,52.85,23.44,0.2,93,0,3.61,1522711378
374,Coffs Harbour,AU,-30.3,153.13,24.0,73,56,4.1,1522710000
375,Visby,SE,57.64,18.3,2.0,64,0,3.1,1522709400
376,High Rock,BS,26.63,-78.28,25.0,73,75,5.81,1522710000
377,Biltine,TD,14.53,20.93,20.45,18,0,5.26,1522711684
378,Baykit,RU,61.68,96.39,-15.88,70,12,2.56,1522711388
379,Lewistown,US,40.39,-90.15,3.3,86,90,4.6,1522710900
380,Teknaf,BD,20.86,92.31,22.72,88,64,2.11,1522711685
381,Agadez,NE,16.97,7.99,19.45,20,0,2.36,1522711685
382,Emirdag,TR,39.02,31.15,-1.08,92,0,1.06,1522711677
383,Iwanai,JP,42.97,140.51,8.25,93,92,7.06,1522711677
384,Halifax,CA,44.65,-63.58,0.0,98,40,4.1,1522710000
385,Iracoubo,GF,5.48,-53.21,24.97,91,80,1.91,1522711686
386,Valdosta,US,30.83,-83.28,26.8,42,40,2.96,1522709760
387,Muravlenko,RU,63.79,74.5,-20.33,81,32,5.56,1522711678
388,Vila Velha,BR,-3.71,-38.6,26.0,88,20,2.1,1522710000
389,Oda,JP,35.19,132.5,12.0,81,20,5.1,1522706400
390,Gua Musang,MY,4.88,101.97,22.17,97,92,0.51,1522711688
391,Sambava,MG,-14.27,50.17,24.7,100,92,5.26,1522711620
392,Dingle,PH,11.0,122.67,25.05,88,12,2.81,1522711563
393,Ketchikan,US,55.34,-131.65,2.68,100,90,4.11,1522710480
394,Lufilufi,WS,-13.87,-171.6,31.0,66,40,4.6,1522706400
395,Saint-Leu,RE,-21.15,55.28,25.52,69,0,2.6,1522710000
396,Mangai,CD,-4.07,19.59,21.62,100,92,1.16,1522711689
397,Mikkeli,FI,61.69,27.27,-1.0,92,90,3.6,1522709400
398,Husavik,CA,50.56,-96.99,-13.71,83,0,4.36,1522711689
399,Nioro,GM,13.79,-15.05,25.35,32,0,4.96,1522711681
400,Grand-Santi,GF,4.27,-54.38,24.42,93,88,0.96,1522711681
401,Shakawe,BW,-18.36,21.84,19.35,51,0,3.86,1522711385
402,Pangnirtung,CA,66.15,-65.72,2.0,55,75,9.3,1522706400
403,Genhe,CN,50.78,121.52,-8.16,40,12,5.56,1522711682
404,Saint-Pierre,FR,48.95,4.24,12.1,71,0,5.1,1522710000
405,Quilmana,PE,-12.95,-76.38,18.22,87,24,1.26,1522711386
406,Veraval,FR,49.65,0.71,10.33,93,24,3.1,1522710000
407,Mahibadhoo,MV,3.78,72.97,29.17,100,76,2.51,1522711395
408,Belmonte,PT,40.36,-7.35,9.67,98,92,3.86,1522711692
409,Hassleholm,SE,56.16,13.77,-2.93,85,48,1.26,1522709400
410,Cacoal,BR,-11.43,-61.44,24.17,94,8,0.96,1522711684
411,Naze,NG,5.43,7.07,26.0,88,44,1.0,1522706400
412,Yar-Sale,RU,66.83,70.83,-18.21,68,12,7.06,1522711635
413,Georgiyevka,RU,52.25,40.45,1.6,91,92,5.56,1522711541
414,Churapcha,RU,62.0,132.43,-6.31,83,92,4.16,1522711694
415,Taltal,CL,-25.41,-70.49,14.55,91,0,1.06,1522711686
416,Jahanabad,IR,33.86,48.17,7.0,56,0,2.1,1522709400
417,Touros,BR,-5.2,-35.46,27.05,87,80,4.56,1522711695
418,Tara,JP,33.0,130.15,14.97,72,20,5.1,1522708200
419,Camapua,BR,-19.53,-54.04,20.57,95,68,1.06,1522711398
420,Santa Cruz Cabralia,BR,-16.28,-39.02,27.0,74,20,3.6,1522710000
421,Tateyama,JP,36.66,137.31,16.0,55,75,3.1,1522706400
422,Altamira,BR,-3.2,-52.21,26.0,88,40,1.0,1522710000
423,Harper,US,30.3,-99.24,26.68,47,75,3.6,1522709700
424,Opichen,MX,20.55,-89.85,33.0,43,40,6.2,1522709280
425,Entre Rios,BR,-11.94,-38.08,25.37,90,24,2.61,1522711690
426,Jegunovce,MK,42.07,21.12,7.59,80,0,2.6,1522710000
427,Matamoros,US,25.87,-97.51,27.8,65,20,13.4,1522709700
428,Asasa,ET,7.1,39.2,8.17,100,56,1.31,1522711401
429,Kainantu,PG,-6.29,145.87,21.25,86,64,0.51,1522711393
430,Uaua,BR,-9.84,-39.48,30.35,39,100,2.61,1522711691
431,Kununurra,AU,-15.77,128.74,30.0,66,0,5.16,1522710000
432,Port Lincoln,AU,-34.72,135.86,18.12,90,0,1.81,1522711692
433,Carahue,CL,-38.71,-73.16,13.0,100,0,1.86,1522711692
434,Khartoum,SD,15.59,32.54,28.0,9,0,3.1,1522710000
435,Sotouboua,TG,8.56,0.98,25.17,83,36,3.81,1522711692
436,Xining,CN,36.62,101.77,-2.83,77,0,1.46,1522711396
437,Busayra,JO,30.74,35.61,11.95,85,0,0.96,1522711396
438,Champerico,MX,16.38,-93.6,35.0,23,40,2.6,1522709400
439,Mandiana,GN,10.62,-8.7,23.85,69,20,1.16,1522711693
440,Kudahuvadhoo,MV,2.67,72.89,28.3,100,32,1.11,1522711693
441,Kvarkeno,RU,52.08,59.73,-10.76,60,0,2.21,1522711693
442,Stara Vyzhivka,UA,51.44,24.44,1.32,91,0,3.96,1522711702
443,Bonavista,CA,48.65,-53.11,-0.71,87,76,6.11,1522711694
444,Borogontsy,RU,62.67,131.17,-7.43,73,88,4.76,1522711694
445,Inhuma,BR,-6.67,-41.71,22.85,94,20,1.61,1522711398
446,Kimbe,PG,-5.56,150.15,26.07,100,80,3.01,1522711695
447,Rassvet,MD,47.2,28.43,5.04,69,0,2.6,1522710000
448,Chalmette,US,29.94,-89.96,25.66,78,75,5.7,1522710900
449,Gravdal,NO,59.79,5.78,-1.0,92,56,2.6,1522709400
450,La Orilla,MX,18.0,-102.23,26.8,71,0,3.31,1522711704
451,Sampit,ID,-2.54,112.95,23.35,99,36,2.06,1522711705
452,Vanimo,PG,-2.67,141.3,28.2,100,76,3.06,1522711705
453,General Roca,AR,-39.03,-67.58,28.0,37,0,3.6,1522706400
454,Punta Alta,AR,-27.46,-55.82,22.0,83,0,3.1,1522710000
455,Biograd na Moru,HR,43.94,15.45,8.0,93,0,2.6,1522710000
456,Richards Bay,ZA,-28.77,32.06,23.85,80,36,5.01,1522711698
457,Skovorodino,RU,53.99,123.94,-7.41,31,0,5.56,1522711401
458,Pandan,PH,11.72,122.09,25.95,100,76,4.46,1522711698
459,Jatai,IN,28.97,76.18,23.45,59,48,3.96,1522711410
460,Atasu,KZ,48.68,71.64,-8.56,84,12,3.71,1522711699
461,Aykhal,RU,65.95,111.51,-19.51,59,0,2.56,1522711700
462,Batticaloa,LK,7.71,81.69,23.95,100,12,1.66,1522711700
463,Innisfail,CA,52.02,-113.95,-6.0,41,40,2.1,1522710000
464,Half Moon Bay,US,37.46,-122.43,19.13,71,1,6.7,1522710000
465,Takoradi,GH,4.89,-1.75,27.25,98,32,2.81,1522711700
466,Morgan City,US,29.7,-91.21,25.45,65,1,5.7,1522709760
467,Berlevag,NO,70.86,29.09,-1.71,100,80,6.06,1522711403
468,Sola,NO,58.89,5.65,-0.57,100,0,2.1,1522709400
469,Bubaque,GW,11.28,-15.83,24.0,78,0,3.1,1522710000
470,Skjervoy,NO,70.03,20.97,-2.18,100,64,4.91,1522711403
471,Highland Park,US,42.41,-83.1,3.7,35,40,1.5,1522710960
472,Odda,NO,60.07,6.55,-18.56,61,48,0.76,1522711711
473,Onega,RU,63.91,38.09,3.67,87,92,6.36,1522711703
474,Bandundu,CD,-3.32,17.38,23.85,98,64,2.76,1522711703
475,Belyy Yar,RU,53.6,91.39,-8.0,85,76,1.21,1522708200
476,Narsaq,GL,60.91,-46.05,6.0,30,56,4.6,1522709400
477,Lere,TD,9.66,14.23,23.57,52,0,1.66,1522711406
478,Werda,DE,50.44,12.3,5.0,77,0,2.6,1522710000
479,Kutum,SD,14.2,24.66,12.67,25,0,2.81,1522711703
480,Kavaratti,IN,10.57,72.64,29.05,100,0,2.91,1522711704
481,Umm Lajj,SA,25.02,37.27,18.55,100,8,0.21,1522711712
482,San Cristobal,EC,-0.39,-78.55,13.0,76,90,1.0,1522710000
483,Ardakan,IR,32.31,54.02,16.0,25,12,2.1,1522710000
484,Chandur Bazar,IN,21.24,77.75,19.17,59,24,0.81,1522711714
485,Vondrozo,MG,-22.82,47.32,20.67,96,44,1.21,1522711706
486,Srednekolymsk,RU,67.46,153.71,-0.43,72,0,2.96,1522711706
487,Bartoszyce,PL,54.25,20.81,-2.96,89,0,3.41,1522711715
488,Sunds,DK,56.2,9.01,1.45,91,92,2.6,1522709400
489,Ondjiva,AO,-17.07,15.73,18.07,99,92,2.11,1522711707
490,Bireun,ID,5.2,96.7,27.0,100,68,1.76,1522711707
491,Oranjestad,AW,12.52,-70.03,27.0,83,40,6.2,1522710000
492,Puri,ID,-7.54,112.45,22.7,95,20,1.96,1522711707
493,Dahod,IN,22.84,74.26,17.92,59,0,1.71,1522711716
494,Kamaishi,JP,39.28,141.86,8.0,93,75,1.5,1522708800
495,Novoagansk,RU,61.94,76.66,-19.06,73,8,2.51,1522711708
496,Muisne,EC,0.61,-80.02,23.2,92,100,2.16,1522711708
497,Novosergiyevka,RU,52.08,53.65,-2.06,87,24,5.11,1522711709
498,Burns Lake,CA,54.23,-125.76,-3.01,45,56,1.31,1522711709
499,Lerwick,GB,60.15,-1.15,1.51,100,68,2.6,1522709400
500,Pacific Grove,US,36.62,-121.92,17.54,63,1,4.1,1522709700
501,Cidreira,BR,-30.17,-50.22,20.7,95,80,3.71,1522711709
502,Gedo,ET,9.01,37.45,12.22,96,68,1.21,1522711411
503,Castro-Urdiales,ES,43.38,-3.22,18.47,48,76,1.5,1522710000
504,Karratha,AU,-20.74,116.85,29.75,50,0,5.01,1522711421
505,Houma,CN,35.63,111.36,14.45,56,0,0.96,1522711710
506,El Porvenir,HN,15.75,-86.9,28.57,69,20,5.1,1522710000
507,Bismil,TR,37.85,40.66,12.5,47,0,1.5,1522709400
508,Darovskoy,RU,58.77,47.96,-0.08,90,56,6.21,1522711712
509,Totness,US,33.74,-80.8,27.0,28,75,4.6,1522709760
510,Vila,IT,45.18,8.4,9.0,81,40,1.0,1522709400
511,Plettenberg Bay,ZA,-34.05,23.37,19.07,93,80,2.21,1522711712
512,Rosarno,IT,38.49,15.98,10.15,76,0,1.5,1522709700
513,Suntar,RU,62.16,117.65,-14.01,55,0,1.66,1522711417
514,Eenhana,NA,-17.48,16.34,19.7,88,80,3.41,1522711418
515,Lunenburg,US,42.59,-71.72,4.58,45,1,3.6,1522709760
516,Beringovskiy,RU,63.05,179.32,-0.31,100,8,2.86,1522711713
517,Lavrentiya,RU,65.58,-170.99,-2.51,100,0,0.86,1522711713
518,Grenville,CA,45.62,-74.6,3.53,51,40,2.1,1522710000
519,Proletariy,RU,58.43,31.7,0.82,96,88,5.71,1522711714
520,Colorado,BR,-22.84,-51.97,21.7,92,68,1.86,1522711714
521,Raymond,US,43.04,-71.18,4.31,41,20,3.1,1522709760
522,Taunggyi,MM,20.78,97.03,13.87,93,20,0.96,1522711715
523,Fernie,CA,49.5,-115.06,-1.89,41,75,2.6,1522710000
524,Huarmey,PE,-10.07,-78.15,21.55,63,56,1.51,1522711715
525,Margate,AU,-43.03,147.26,17.0,55,75,5.7,1522710000
526,Kawalu,ID,-7.38,108.21,19.87,93,20,0.51,1522711715
527,Linfen,CN,36.09,111.52,14.17,56,0,0.96,1522711724
528,Skibbereen,IE,51.55,-9.27,8.0,100,75,4.1,1522708200
529,Hamilton,CA,43.26,-79.87,4.2,51,90,3.1,1522710000
530,Yarensk,RU,62.17,49.09,0.2,91,92,4.76,1522711430
531,Bulgan,MN,48.81,103.53,-14.21,70,0,1.26,1522711726
532,Vardo,US,39.62,-77.74,7.5,61,90,1.61,1522709700
533,Falavarjan,IR,32.56,51.51,3.08,28,0,2.1,1522708200
534,Felanitx,ES,39.47,3.15,13.0,82,0,0.5,1522710000
535,Nkhata Bay,MW,-11.61,34.3,19.72,100,80,1.51,1522711422
536,Malm,NO,64.07,11.22,-2.0,100,75,2.1,1522709400
537,Korgen,NO,66.08,13.83,-12.04,84,0,0.31,1522709400
538,Utete,TZ,-7.99,38.76,22.62,100,92,0.36,1522711728
539,Austin,US,30.27,-97.74,24.08,51,1,5.7,1522709760
540,Port-Cartier,CA,50.03,-66.88,-5.0,20,20,3.1,1522710000
541,Willowmore,ZA,-33.3,23.49,11.62,96,68,0.81,1522711433
542,Butler,US,41.43,-84.87,5.34,52,1,2.1,1522710900
543,Liwonde,MW,-15.05,35.2,19.35,100,92,1.41,1522711729
544,Quatre Cocos,MU,-20.21,57.76,26.0,88,75,2.1,1522710000
545,Bayir,TR,37.27,28.22,11.0,71,0,1.5,1522709400
546,Soyo,AO,-6.13,12.37,24.75,94,76,1.16,1522711721
547,Hyeres,FR,43.12,6.14,12.47,76,0,6.2,1522710000
548,Lerum,SE,57.77,12.27,-4.0,68,0,0.96,1522709400
549,Dolores,AR,-36.31,-57.68,15.82,74,0,3.41,1522711722
550,Agnibilekrou,CI,7.13,-3.2,25.75,80,8,2.91,1522711722
551,Abrau-Dyurso,RU,44.7,37.6,8.0,87,56,3.0,1522708200
552,Laguna,MX,27.52,-110.01,31.0,14,5,6.7,1522709400
553,Mvangue,CM,2.97,11.5,20.42,100,48,0.96,1522711428
554,Gorshechnoye,RU,51.52,38.03,0.57,95,88,3.46,1522711428
555,Pilar,AR,-34.46,-58.91,20.66,73,20,5.1,1522710000
556,Mount Isa,AU,-20.73,139.49,29.0,30,0,6.2,1522710000
557,Bonnyville,CA,54.27,-110.74,-3.0,45,75,1.56,1522710000
558,Manggar,ID,-2.88,108.27,25.6,100,8,1.31,1522711725
559,Brae,GB,60.4,-1.35,1.71,100,20,2.6,1522709400
560,Iguala,MX,18.34,-99.54,32.0,19,75,1.0,1522709220
561,Razole,IN,16.48,81.84,28.17,99,0,5.71,1522711726
562,Qaqortoq,GL,60.72,-46.03,6.0,30,20,4.6,1522709400
563,Luderitz,NA,-26.65,15.16,18.0,82,88,4.1,1522710000
564,Wanning,AT,48.64,13.53,7.0,65,75,1.0,1522709400
565,Tiarei,PF,-17.53,-149.33,30.0,62,75,1.0,1522710000
566,Banff,CA,51.18,-115.57,-8.33,51,68,1.01,1522711736
567,Toppenish,US,46.38,-120.31,13.0,24,40,6.7,1522709580
568,Padang,ID,-0.92,100.36,25.5,100,56,1.86,1522711496
569,Harrisonville,US,38.65,-94.35,2.0,93,90,2.6,1522712100
570,Sorland,NO,67.67,12.69,0.85,100,0,2.11,1522711737
571,Sangar,RU,63.92,127.47,-11.78,65,76,5.56,1522711729
572,Velur,IN,10.64,76.16,24.85,88,40,1.96,1522710000
573,Menzelinsk,RU,55.73,53.11,1.0,64,0,6.0,1522708200
574,Mapastepec,MX,15.44,-92.9,23.6,84,68,0.91,1522711729
575,Pathein,MM,16.78,94.73,24.45,93,12,1.06,1522711730
576,Lichuan,CN,30.3,108.94,10.55,80,0,1.41,1522711433
577,Tessalit,ML,20.2,1.01,19.2,30,0,1.41,1522711684
578,Pauini,BR,-7.71,-67.0,26.85,87,64,1.01,1522711433
579,Masvingo,ZW,-20.08,30.83,15.07,95,0,3.01,1522711433
580,Kysyl-Syr,RU,63.9,122.77,-15.06,51,0,4.11,1522711433
581,Chara,GR,39.42,22.43,7.0,81,20,2.1,1522709400
582,Buala,SB,-8.15,159.59,26.75,100,80,1.61,1522711730
583,Maniitsoq,GL,65.42,-52.9,-5.58,61,0,2.41,1522711466
584,Patacamaya,BO,-17.23,-67.92,6.37,45,12,2.76,1522711739
585,Portland,US,45.52,-122.67,10.75,53,75,1.51,1522709760
586,Stokmarknes,NO,68.56,14.91,-6.0,73,0,2.6,1522705800
587,Oriximina,BR,-1.77,-55.87,25.3,96,76,1.01,1522711740
588,Etalle,BE,49.68,5.6,9.0,76,75,3.1,1522709400
589,Banda Aceh,ID,5.56,95.32,23.3,100,24,0.86,1522711732
590,Mogadishu,SO,2.04,45.34,28.2,100,64,3.11,1522711733
591,Alenquer,BR,-1.95,-54.74,24.0,100,40,1.21,1522710000
592,Paita,PE,-5.09,-81.11,24.3,65,20,3.41,1522711435
593,Mizdah,LY,31.45,12.98,12.25,56,0,3.06,1522711436
594,Aasiaat,GL,68.71,-52.87,-7.93,83,12,1.16,1522711742
595,Aksu,KZ,52.04,76.93,-2.0,92,90,3.0,1522708200
596,Lakhisarai,IN,25.18,86.09,18.92,69,0,2.21,1522711742
597,Safita,SY,34.82,36.12,14.0,87,0,3.1,1522710000
598,Puerto Baquerizo Moreno,EC,-0.9,-89.6,26.0,78,75,4.1,1522710000
599,Waslala,NI,13.33,-85.37,24.35,73,36,1.66,1522711437
600,Hawick,GB,55.42,-2.78,0.71,93,90,9.3,1522709400
601,Abalak,NE,15.46,6.28,20.22,47,12,1.61,1522711743
602,Seoul,KR,37.57,126.98,15.79,82,75,1.66,1522709760
603,Dondaicha,IN,21.33,74.56,19.25,58,0,2.26,1522711735
604,Capelinha,BR,-17.69,-42.52,21.8,80,0,2.41,1522711744
605,Garowe,SO,8.41,48.48,22.6,86,64,2.51,1522711736
606,Coruripe,BR,-10.12,-36.18,26.97,98,88,3.56,1522711745
607,Roebourne,AU,-20.77,117.15,29.75,50,0,5.01,1522711447
608,Kasongo-Lunda,CD,-6.48,16.82,20.6,97,56,1.01,1522711458
609,Jasper,US,33.83,-87.28,24.57,42,48,2.6,1522709760
610,Whitianga,NZ,-36.83,175.7,18.97,100,8,1.16,1522711737
611,Kayes,ML,14.44,-11.44,27.35,36,0,2.86,1522711745
612,Turka,UA,49.16,23.03,-2.53,81,0,2.36,1522711737
613,Selaphum,TH,16.03,103.94,22.0,83,64,1.5,1522706400
614,Ruteng,ID,-8.61,120.46,24.55,88,0,1.66,1522711738
615,Jerome,US,34.75,-112.11,19.45,12,1,8.2,1522709820
616,Hargeysa,SO,9.56,44.06,15.62,97,88,1.36,1522711747
617,High Level,CA,58.52,-117.13,-5.0,49,75,5.7,1522710000
618,Marsh Harbour,BS,26.54,-77.06,22.75,100,76,6.26,1522711748
619,Maputo,MZ,-25.97,32.57,23.0,83,20,0.5,1522706400
620,Okahandja,NA,-21.98,16.91,17.0,72,64,3.6,1522710000
621,Carutapera,BR,-1.2,-46.02,26.35,90,76,3.31,1522711740
622,Kasungu,MW,-13.04,33.48,18.55,94,36,3.11,1522711741
623,Fort Nelson,CA,58.81,-122.69,-4.0,58,75,4.1,1522710000
624,Dudinka,RU,69.41,86.18,-24.01,74,36,2.51,1522711741
625,Coihueco,CL,-36.63,-71.83,21.0,60,0,4.1,1522710000
626,Pingliang,CN,35.54,106.68,8.92,51,0,5.21,1522711750
627,Bilibino,RU,68.06,166.44,-0.26,82,36,1.36,1522711742
628,Samana,EC,0.12,-76.97,25.0,94,75,1.5,1522710000
629,Ostrov,RU,57.34,28.36,0.0,89,80,6.0,1522710000
630,Choma,ZM,-16.81,26.98,12.97,84,0,1.81,1522711446
631,Olga,US,34.11,-118.17,18.79,52,75,5.1,1522709880
632,Geraldton,CA,49.72,-86.95,-11.0,30,20,2.6,1522710000
633,Mago,RU,53.27,140.15,-2.81,73,76,6.01,1522711446
634,Kargopol,RU,61.51,38.95,3.72,97,92,9.06,1522711447
635,Floro,NO,61.6,5.03,0.0,100,0,3.6,1522709400
636,Hornepayne,CA,49.22,-84.78,-8.43,59,64,2.16,1522711744
637,El Rosario,MX,22.99,-105.86,27.0,42,5,4.1,1522708980
638,Cap Malheureux,MU,-19.98,57.61,26.0,88,75,2.1,1522710000
639,Lac du Bonnet,CA,50.25,-96.06,-10.18,51,0,2.76,1522711754
640,Reno,US,39.53,-119.81,15.03,16,75,9.3,1522710900
641,Syedove,UA,47.08,38.16,6.95,93,92,5.26,1522711450
642,Batagay-Alyta,RU,67.8,130.41,-11.28,81,76,1.86,1522711746
643,Arieseni,RO,46.48,22.77,-0.71,90,0,0.86,1522711747
644,Mnogovershinnyy,RU,53.94,139.92,-3.21,77,80,4.31,1522711747
645,Sabang,PH,13.72,123.58,25.87,97,64,3.16,1522711747
646,Viedma,AR,-40.81,-62.99,21.55,43,0,4.56,1522711451
647,Yumen,CN,40.29,97.04,1.42,34,36,3.96,1522711756
648,Manta,RO,45.1,24.1,-0.58,78,0,1.06,1522711452
649,Kon Tum,VN,14.36,108.0,18.07,78,8,1.31,1522711452
650,Verkhoyansk,RU,67.55,133.39,-7.76,74,44,1.41,1522711461
651,Umba,RU,66.69,34.34,-1.08,88,92,7.71,1522711748
652,Opuwo,NA,-18.06,13.84,17.1,97,68,1.41,1522711748
653,Ulaangom,MN,49.98,92.07,-19.41,60,8,0.76,1522711757
654,Gamba,CN,28.28,88.52,-17.16,73,20,0.86,1522711749
655,Whyalla,AU,-33.04,137.58,17.0,72,0,6.7,1522710000
656,Qinzhou,CN,21.96,108.62,20.57,94,68,3.46,1522711758
657,Sinop,TR,42.03,35.15,9.97,87,12,3.01,1522711463
658,Sobolevo,RU,54.43,31.9,0.47,93,92,6.31,1522711750
659,Verkhnyaya Toyma,RU,62.24,45.0,2.47,92,92,6.01,1522711455
660,Jackson,US,35.61,-88.82,14.59,72,90,3.11,1522709760
661,Celestun,MX,20.87,-90.4,26.6,91,8,9.41,1522711759
662,Catalao,BR,-18.17,-47.95,19.72,93,24,1.01,1522711760
663,Bucerias,MX,20.76,-105.33,26.0,69,5,6.2,1522705920
664,Fortuna,ES,38.18,-1.13,12.0,87,0,2.6,1522710000
665,Katobu,ID,-4.94,122.53,29.1,88,36,2.86,1522711752
666,Uberlandia,BR,-18.92,-48.28,24.0,69,40,2.1,1522706400
667,Itaueira,BR,-7.6,-43.03,22.72,93,0,2.16,1522711753
668,Kolokani,ML,13.58,-8.03,27.12,43,92,2.21,1522711761
669,Najran,SA,17.54,44.22,23.0,31,40,2.1,1522706400
670,Kloulklubed,PW,7.04,134.26,28.0,83,90,2.6,1522709640
671,La Ronge,CA,55.1,-105.3,-10.0,43,20,2.6,1522710000
672,Hare Bay,CA,48.86,-53.99,-2.0,63,20,6.7,1522710000
673,San Carlos,VE,9.66,-68.59,31.0,66,20,1.06,1522710000
674,Adrar,DZ,27.87,-0.29,21.0,43,40,8.2,1522710000
675,Beidao,CN,34.57,105.89,8.75,87,0,1.06,1522711469
676,Mandla,IN,22.6,80.37,16.5,57,0,1.86,1522711756
677,Marawi,PH,8.0,124.29,23.47,84,12,1.31,1522711757
678,Saint-Georges,CA,46.12,-70.67,-2.26,55,24,2.51,1522711470
679,Koraput,IN,18.81,82.72,12.75,81,0,0.86,1522711462
680,Micheweni,TZ,-4.97,39.83,24.07,100,88,1.96,1522711766
681,Uthal,PK,25.81,66.62,22.75,92,88,1.51,1522711758
682,Dali,CN,25.6,100.24,6.22,100,8,0.81,1522711758
683,Havoysund,NO,71.0,24.66,-4.0,92,75,7.7,1522709400
684,Whitehorse,CA,60.72,-135.06,-4.0,32,75,5.7,1522710000
685,Batemans Bay,AU,-35.71,150.18,17.92,96,48,0.86,1522711767
686,Mandalgovi,MN,45.76,106.27,-5.93,68,80,3.46,1522711463
687,Boueni,YT,-12.9,45.08,26.0,88,0,1.0,1522710000
688,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,-5.0,49,32,1.0,1522710000
689,Boddam,GB,57.47,-1.78,3.0,74,90,4.6,1522709400
690,Manokwari,ID,-0.87,134.08,28.37,98,24,2.61,1522711760
691,Ottawa,CA,45.42,-75.69,3.5,51,40,3.6,1522710000
692,Aranos,NA,-24.14,19.11,21.07,33,88,4.56,1522711464
693,Asyut,EG,27.18,31.19,19.0,32,0,7.2,1522710000
694,Roald,NO,62.58,6.12,-2.58,100,0,4.6,1522709400
695,Danane,CI,7.26,-8.15,22.05,92,56,1.41,1522711473
696,Shiraz,IR,29.61,52.54,14.0,15,0,2.1,1522710000
697,Kholm,RU,57.15,31.18,0.05,91,92,7.71,1522711465
698,Voykove,UA,45.38,36.44,6.42,94,0,9.06,1522711761
699,Xiaoshi,CN,30.59,116.63,17.85,97,80,1.11,1522711770
700,Hienghene,NC,-20.68,164.93,25.87,100,100,9.51,1522711771
701,Straumen,NO,63.87,11.3,-2.0,100,75,2.1,1522709400
702,Coihaique,CL,-45.58,-72.07,14.0,94,90,1.5,1522710000
703,Tsuyama,JP,35.14,134.03,13.0,76,75,4.6,1522706400
704,Vestmanna,FO,62.16,-7.17,-1.0,74,88,5.7,1522709400
705,Guilin,CN,25.28,110.29,19.0,93,75,1.0,1522706400
706,Mersing,MY,2.43,103.84,26.3,88,8,3.21,1522711764
707,Milkovo,BG,41.53,24.68,7.58,79,0,4.1,1522710000
708,Port Augusta,AU,-32.49,137.76,17.0,72,0,6.7,1522710000
709,Salina Cruz,MX,16.18,-95.2,27.95,56,0,3.01,1522711468
710,Sioux Lookout,CA,50.1,-91.92,-10.42,23,20,1.5,1522710000
711,Hinton,CA,53.4,-117.57,-4.76,46,44,1.41,1522711585
712,Khatra,IN,22.98,86.85,17.2,89,0,1.21,1522711765
713,Yuzhnouralsk,RU,54.44,61.27,-11.96,66,0,1.31,1522711765
714,Te Anau,NZ,-45.41,167.72,10.3,79,44,6.16,1522711765
715,Launceston,AU,-41.43,147.14,15.0,72,0,4.6,1522710000
716,Ishigaki,JP,24.34,124.16,22.0,68,20,3.1,1522706400
717,Salisbury,GB,51.07,-1.8,9.62,93,88,7.7,1522705800
718,Suixi,CN,33.92,116.76,20.47,92,0,2.96,1522711767
719,Aljezur,PT,37.31,-8.8,14.72,98,64,5.11,1522711479
720,Pasni,PK,25.26,63.48,25.07,100,36,2.86,1522711480
721,La Rioja,AR,-29.41,-66.86,20.25,73,56,1.51,1522711472
722,Arlit,NE,18.74,7.39,21.75,33,20,1.26,1522711776
723,Hervey Bay,AU,-25.3,152.85,25.35,90,92,7.06,1522711472
724,Kirakira,SB,-10.46,161.92,25.87,100,92,4.21,1522711768
725,Lucapa,AO,-8.42,20.74,19.07,99,68,2.06,1522711776
726,Xuddur,SO,4.12,43.89,19.75,96,56,1.31,1522711472
727,Codroipo,IT,45.96,12.98,10.0,87,80,2.6,1522709400
728,Imamoglu,TR,37.26,35.66,12.54,76,0,1.5,1522709400
729,Lithakia,GR,37.72,20.83,9.0,87,0,3.61,1522709400
730,Fleetwood,US,40.45,-75.82,5.34,70,1,0.46,1522709700
731,Nyurba,RU,63.29,118.35,-14.91,51,0,1.86,1522711769
732,Nuevo Progreso,US,26.05,-97.95,28.37,58,1,11.3,1522709700
733,Saint-Francois,FR,46.42,3.91,12.0,40,0,5.1,1522710000
734,Pasighat,IN,28.06,95.33,16.17,63,12,0.91,1522711770
735,Santa Lucia,IT,39.93,9.66,12.0,81,20,1.5,1522709700
736,Assiniboia,CA,49.63,-105.99,-8.08,91,76,4.21,1522711772
737,Owando,CG,-0.49,15.91,22.35,98,36,0.96,1522711781
738,San Pedro de Uraba,CO,8.28,-76.38,27.0,69,40,5.1,1522710000
739,Jiangyou,CN,31.78,104.73,13.37,80,0,1.61,1522711773
740,Otjimbingwe,NA,-22.35,16.13,16.8,97,92,1.51,1522711486
741,Lasa,CY,34.92,32.53,14.13,82,20,2.1,1522710000
742,Kirkwood,ZA,-33.4,25.44,22.0,83,75,6.2,1522710000
743,Bima,ID,-8.45,118.73,26.12,95,0,1.41,1522711774
744,Quang Ngai,VN,15.12,108.8,18.07,84,0,0.96,1522711775
745,Belaya Gora,RU,68.54,146.19,-3.38,90,0,4.96,1522711783
746,Vanavara,RU,60.35,102.28,-10.71,71,76,2.11,1522711775
747,Coro,VE,11.41,-69.67,29.0,66,20,4.16,1522706400
748,Pierre,US,44.37,-100.35,0.0,60,90,10.8,1522709580
